id,species,scientific_name,observed_on,latitude,longitude,user,quality_grade,url
258483698,White-tailed Nuthatch,Sitta himalayensis,2024-04-12,27.1013543878,88.060756512,mohitnanwani,research,https://www.inaturalist.org/observations/258483698
258386172,Greater Racket-tailed Drongo,Dicrurus paradiseus,2024-12-28,26.7961932,88.3630076,kunikimu,research,https://www.inaturalist.org/observations/258386172
258385999,Oriental Cuckooshrike,Coracina javensis,2024-12-28,26.7961932,88.3630076,kunikimu,research,https://www.inaturalist.org/observations/258385999
258378210,Snowy-browed Flycatcher,Ficedula hyperythra,2024-12-30,26.7961930593,88.3630076051,kunikimu,needs_id,https://www.inaturalist.org/observations/258378210
258378158,Greater Necklaced Laughingthrush,Pterorhinus pectoralis,2024-12-30,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258378158
258378106,Chestnut-bellied Rock-Thrush,Monticola rufiventris,2024-12-30,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258378106
258378056,Red Junglefowl,Gallus gallus,2024-12-30,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258378056
258377975,Grey-headed Woodpecker,Picus canus,2024-12-30,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258377975
258377926,Scarlet Minivet,Pericrocotus speciosus,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258377926
258377658,Steppe Eagle,Aquila nipalensis,2024-12-30,26.9244166389,88.5876075752,kunikimu,research,https://www.inaturalist.org/observations/258377658
258377353,Rufous-bellied Niltava,Niltava sundara,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258377353
258377297,Rufous-bellied Niltava,Niltava sundara,2024-12-30,26.9159059051,88.402816616,kunikimu,needs_id,https://www.inaturalist.org/observations/258377297
258377193,Indian White-eye,Zosterops palpebrosus,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258377193
258377090,Indian White-eye,Zosterops palpebrosus,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258377090
258377003,Yellow-bellied Warbler,Abroscopus superciliaris,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258377003
258376693,White-rumped Munia,Lonchura striata,2024-12-30,26.9159059051,88.402816616,kunikimu,needs_id,https://www.inaturalist.org/observations/258376693
258376445,Yellow-browed Warbler,Phylloscopus inornatus,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258376445
258376222,Himalayan Black-lored Tit,Machlolophus xanthogenys,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258376222
258376192,Gray-throated Babbler,Stachyris nigriceps,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258376192
258376120,White-rumped Munia,Lonchura striata,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258376120
258376062,Blue-winged Minla,Actinodura cyanouroptera,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258376062
258376008,Grey-headed Canary-Flycatcher,Culicicapa ceylonensis,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258376008
258375941,Blue-winged Minla,Actinodura cyanouroptera,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258375941
258375906,Blue-winged Minla,Actinodura cyanouroptera,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258375906
258375864,Indian White-eye,Zosterops palpebrosus,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258375864
258375812,Grey-hooded Warbler,Phylloscopus xanthoschistos,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258375812
258375771,Blyth's Leaf Warbler,Phylloscopus reguloides,2024-12-30,26.9159059051,88.402816616,kunikimu,needs_id,https://www.inaturalist.org/observations/258375771
258375722,Blue-winged Minla,Actinodura cyanouroptera,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258375722
258375686,Red-tailed Minla,Minla ignotincta,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258375686
258375635,Lemon-rumped Warbler,Phylloscopus chloronotus,2024-12-30,26.9159059051,88.402816616,kunikimu,needs_id,https://www.inaturalist.org/observations/258375635
258375539,Black-crested Bulbul,Rubigula flaviventris,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258375539
258375501,Lesser Racket-tailed Drongo,Dicrurus remifer,2024-12-30,26.9159059051,88.402816616,kunikimu,needs_id,https://www.inaturalist.org/observations/258375501
258375459,Blyth's Leaf Warbler,Phylloscopus reguloides,2024-12-30,26.9159059051,88.402816616,kunikimu,needs_id,https://www.inaturalist.org/observations/258375459
258375322,Grey-headed Canary-Flycatcher,Culicicapa ceylonensis,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258375322
258374274,Red-headed Trogon,Harpactes erythrocephalus,2024-12-30,26.9159059051,88.402816616,kunikimu,research,https://www.inaturalist.org/observations/258374274
258374054,Black-chinned Yuhina,Yuhina nigrimenta,2024-12-29,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258374054
258373935,Gray Treepie,Dendrocitta formosae,2024-12-29,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258373935
258373907,White-tailed Robin,Myiomela leucura,2024-12-29,26.7961930593,88.3630076051,kunikimu,needs_id,https://www.inaturalist.org/observations/258373907
258373819,Rufous Sibia,Heterophasia capistrata,2024-12-29,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258373819
258373747,Fire-tailed Sunbird,Aethopyga ignicauda,2024-12-29,26.7961930593,88.3630076051,kunikimu,needs_id,https://www.inaturalist.org/observations/258373747
258373671,Yellow-browed Tit,Sylviparus modestus,2024-12-29,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258373671
258373624,White-browed Fulvetta,Fulvetta vinipectus,2024-12-29,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258373624
258373578,Rufous-winged Fulvetta,Schoeniparus castaneceps,2024-12-29,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258373578
258373398,Green-tailed Sunbird,Aethopyga nipalensis,2024-12-29,26.7961930593,88.3630076051,kunikimu,needs_id,https://www.inaturalist.org/observations/258373398
258373295,Gray-winged Blackbird,Turdus boulboul,2024-12-29,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258373295
258373254,Rufous-winged Fulvetta,Schoeniparus castaneceps,2024-12-29,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258373254
258373204,Rufous-winged Fulvetta,Schoeniparus castaneceps,2024-12-29,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258373204
258373177,Chestnut-crowned Warbler,Phylloscopus castaniceps,2024-12-29,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258373177
258373153,Chestnut-tailed Minla,Actinodura strigula,2024-12-29,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258373153
258372760,Red-tailed Minla,Minla ignotincta,2024-12-29,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258372760
258372656,Blue-fronted Redstart,Phoenicurus frontalis,2024-12-29,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258372656
258372616,Blue-fronted Redstart,Phoenicurus frontalis,2024-12-29,26.7961930593,88.3630076051,kunikimu,needs_id,https://www.inaturalist.org/observations/258372616
258372458,Himalayan Cutia,Cutia nipalensis,2024-12-29,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258372458
258372437,Grey-headed Woodpecker,Picus canus,2024-12-29,26.7961930593,88.3630076051,kunikimu,research,https://www.inaturalist.org/observations/258372437
